pid,num,question,answer
100041852026,1,点歌要年费吗？,商家送了免费会员，下载的歌曲还可以免费使用
100020092372,1,有电流声吗,大音量的时候会有一点点
100020092372,1,有电流声吗,没有
100020092372,1,有电流声吗,没有，音响音质挺好的
100020092372,1,有电流声吗,没有
100020092372,1,有电流声吗,没有   不追求无损 够用
100020092372,1,有电流声吗,无电流声，美中不足就是声音有点小
100020092372,1,有电流声吗,没有
100020092372,1,有电流声吗,有点
100020092372,1,有电流声吗,没有电流声
100020092372,1,有电流声吗,没听到，看电影玩游戏的声音比较大
100023150449,1,有开机声音吗，开机声音大吗？,有声音，大小根据你连接设备决定，切换蓝牙模式也有中文提示音，还有内置麦克风
100023150449,1,有开机声音吗，开机声音大吗？,开机有声音 就跟你戴蓝牙耳机一样的  开机看你电脑的声音大小
100023150449,1,有开机声音吗，开机声音大吗？,有开机声音，不是很大。音质也还行
100041852026,2,点歌要年费吗？,商家送了免费会员，下载的歌曲还可以永久免费使用
100023150449,1,有开机声音吗，开机声音大吗？,开机没声音
100023150449,1,有开机声音吗，开机声音大吗？,每次开机需要自己按钮选择模式，有提示音
100020092372,2,请问，质量怎么样，推荐购买吗,挺好
100020092372,2,请问，质量怎么样，推荐购买吗,音质挺好的，性价比高。不错
100020092372,2,请问，质量怎么样，推荐购买吗,可以买
100020092372,2,请问，质量怎么样，推荐购买吗,挺好的
100020092372,2,请问，质量怎么样，推荐购买吗,音质还可以，不错
100020092372,2,请问，质量怎么样，推荐购买吗,这个价位里算好的了
100020092372,2,请问，质量怎么样，推荐购买吗,质量还不错的，可以入手
100020092372,2,请问，质量怎么样，推荐购买吗,这价格咱就别要求那么高了好嘛，能听个声不就行了吗
100020092372,2,请问，质量怎么样，推荐购买吗,值得拥有，价格性能比高，音质很好，清晰
100020092372,2,请问，质量怎么样，推荐购买吗,可以的 性价比很好了
100041852026,3,功能多吗,功能挺多的可以K歌点歌，里面有海量曲库，可以学跳广场舞，可以看免费的电视，送了两个充电话筒，连蓝牙，播U盘都可以。非常Nice
100023150449,2,男生不能买吗,男生买犯法
100023150449,2,男生不能买吗,这个产品介绍，没讲男生不能买吧？
100023150449,2,男生不能买吗,这音响巨不好用。没调节音量按钮。
100023150449,2,男生不能买吗,我买了，我喜欢骚粉，自带的麦我觉得很一般，朋友说声音很小
100020092372,3,音量大不大,挺大的
100020092372,3,音量大不大,挺大的，我把音箱声音开到最大，调节电脑上的声音，基本上8格就足够正常游戏
100020092372,3,音量大不大,还不错
100020092372,3,音量大不大,大还蛮好
